lr,epochs,batch_size,optimizer,nb_layers,activation,pooling,MSE,SNR_dB
0.0505,50,64,adam,4,relu,avg,0.05499964579939842,44.355373
0.0505,50,64,adam,4,tanh,avg,0.05129992216825485,5.7694016
0.0505,50,64,adam,6,relu,avg,0.2549872100353241,-7.1518583
0.0505,50,64,adam,6,tanh,avg,0.05627753585577011,11.558252
0.0505,50,128,adam,2,relu,avg,0.05500634387135506,38.6711
0.0505,50,128,adam,2,tanh,avg,0.028825979679822922,1.1853353
0.0505,50,128,adam,4,relu,avg,0.055016886442899704,33.78262
0.0505,50,128,adam,4,tanh,avg,0.050863053649663925,6.798359
0.0505,50,128,adam,6,relu,avg,1.1779857873916626,-14.630672
0.0505,50,128,adam,6,tanh,avg,0.05703387409448624,10.704647
0.0505,50,256,adam,2,relu,avg,0.03094429522752762,3.4264255
0.0505,50,256,adam,2,tanh,avg,0.028961757197976112,1.3584517
0.0505,50,256,adam,4,relu,avg,0.05502111837267876,33.009144
0.0505,50,256,adam,4,tanh,avg,0.052934642881155014,5.948717
0.0505,50,256,adam,6,relu,avg,0.25409209728240967,-7.1280713
0.0505,50,256,adam,6,tanh,avg,0.056996043771505356,10.942665
0.0505,100,64,adam,2,relu,avg,0.05501287430524826,34.512123
0.0505,100,64,adam,2,tanh,avg,0.025201020762324333,0.58735216
0.0505,100,64,adam,4,relu,avg,0.05501221492886543,35.449318
0.0505,100,64,adam,4,tanh,avg,0.05612248182296753,6.3262954
0.0505,100,64,adam,6,relu,avg,0.05590326339006424,16.284191
0.0505,100,64,adam,6,tanh,avg,0.05696839466691017,11.426687
0.0505,100,128,adam,2,relu,avg,0.03204774856567383,3.6657472
0.0505,100,128,adam,2,tanh,avg,0.02837621234357357,0.7043434
0.0505,100,128,adam,4,relu,avg,0.05499992147088051,44.036972
0.0505,100,128,adam,4,tanh,avg,0.053362928330898285,7.1742935
0.0505,100,128,adam,6,relu,avg,0.0567447654902935,13.472473
0.0505,100,128,adam,6,tanh,avg,0.05745886638760567,9.847867
0.0505,100,256,adam,2,relu,avg,0.05500688776373863,40.05664
0.0505,100,256,adam,2,tanh,avg,0.020591650158166885,0.5916417
0.0505,100,256,adam,4,relu,avg,0.055401045829057693,19.658081
0.0505,100,256,adam,4,tanh,avg,0.05331927910447121,7.7528543
0.0505,100,256,adam,6,relu,avg,0.08554283529520035,1.0449605
0.0505,100,256,adam,6,tanh,avg,0.05781806260347366,10.270214
0.07525000000000001,20,64,adam,2,relu,avg,0.05501294881105423,34.721294
0.07525000000000001,20,64,adam,2,tanh,avg,0.03362995386123657,0.2806522
0.07525000000000001,20,64,adam,4,relu,avg,0.3050075173377991,-8.094218
0.07525000000000001,20,64,adam,4,tanh,avg,0.055968254804611206,6.9713283
0.07525000000000001,20,64,adam,6,relu,avg,0.3208242952823639,-8.3613615
0.07525000000000001,20,64,adam,6,tanh,avg,0.057290565222501755,11.520469
0.07525000000000001,20,128,adam,2,relu,avg,0.05500242859125137,40.131294
0.07525000000000001,20,128,adam,2,tanh,avg,0.03045845218002796,1.2731528
0.07525000000000001,20,128,adam,4,relu,avg,0.16824163496494293,-4.6579595
0.07525000000000001,20,128,adam,4,tanh,avg,0.05308935046195984,7.2620425
0.07525000000000001,20,128,adam,6,relu,avg,4.57794793232289e+23,-249.14844
0.07525000000000001,20,128,adam,6,tanh,avg,0.058616045862436295,8.716747
0.07525000000000001,20,256,adam,2,relu,avg,0.05501934140920639,33.060295
0.07525000000000001,20,256,adam,2,tanh,avg,0.024283764883875847,0.95632315
0.07525000000000001,20,256,adam,4,relu,avg,0.8853940963745117,-13.322943
0.07525000000000001,20,256,adam,4,tanh,avg,0.06993283331394196,2.2301223
0.07525000000000001,20,256,adam,6,relu,avg,0.9423840641975403,-13.603837
0.07525000000000001,20,256,adam,6,tanh,avg,0.07505065947771072,2.5501187
0.07525000000000001,50,64,adam,2,relu,avg,0.055010586977005005,36.05617
0.07525000000000001,50,64,adam,2,tanh,avg,0.036124859005212784,-0.17211783
0.07525000000000001,50,64,adam,4,relu,avg,0.0550060011446476,35.276955
0.07525000000000001,50,64,adam,4,tanh,avg,0.05480804294347763,7.242847
0.07525000000000001,50,64,adam,6,relu,avg,1502.1805419921875,-45.89606
0.07525000000000001,50,64,adam,6,tanh,avg,0.057543959468603134,10.381094
0.07525000000000001,50,128,adam,2,relu,avg,0.05500231683254242,39.050358
0.07525000000000001,50,128,adam,2,tanh,avg,0.04229935631155968,0.8063948
0.07525000000000001,50,128,adam,4,relu,avg,0.05505351722240448,28.606146
0.07525000000000001,50,128,adam,4,tanh,avg,0.054960742592811584,6.81838
0.07525000000000001,50,128,adam,6,relu,avg,0.3310988247394562,-8.5508795
0.07525000000000001,50,128,adam,6,tanh,avg,0.05631610378623009,11.681583
0.07525000000000001,50,256,adam,2,relu,avg,0.03923992067575455,5.624503
0.07525000000000001,50,256,adam,2,tanh,avg,0.05861279368400574,-0.9174912
0.07525000000000001,50,256,adam,4,relu,avg,0.05504757538437843,28.903515
0.07525000000000001,50,256,adam,4,tanh,avg,0.05316070467233658,5.7852807
0.07525000000000001,50,256,adam,6,relu,avg,7.344057559967041,-22.758404
0.07525000000000001,50,256,adam,6,tanh,avg,0.060607392340898514,7.748385
0.07525000000000001,100,64,adam,2,relu,avg,0.055010564625263214,36.067787
0.07525000000000001,100,64,adam,2,tanh,avg,0.027790416032075882,0.9054441
0.07525000000000001,100,64,adam,4,relu,avg,0.0550043024122715,37.05079
0.07525000000000001,100,64,adam,4,tanh,avg,0.053821902722120285,9.336773
0.07525000000000001,100,64,adam,6,relu,avg,3729617321984.0,-46.506966
0.07525000000000001,100,64,adam,6,tanh,avg,0.05625378340482712,14.3224325
0.07525000000000001,100,128,adam,2,relu,avg,0.055011481046676636,35.09317
0.07525000000000001,100,128,adam,2,tanh,avg,0.03500040993094444,1.2366345
0.07525000000000001,100,128,adam,4,relu,avg,0.0549996942281723,43.030815
0.07525000000000001,100,128,adam,4,tanh,avg,0.05276207998394966,7.552338
0.07525000000000001,100,128,adam,6,relu,avg,2.4000137498661852e+29,-306.39563
0.07525000000000001,100,128,adam,6,tanh,avg,0.0668674111366272,4.879275
0.07525000000000001,100,256,adam,2,relu,avg,0.05501803755760193,34.113438
0.07525000000000001,100,256,adam,2,tanh,avg,0.06483327597379684,2.6242356
0.07525000000000001,100,256,adam,4,relu,avg,0.05504577234387398,29.139246
0.07525000000000001,100,256,adam,4,tanh,avg,0.05658502131700516,5.7879815
0.07525000000000001,100,256,adam,6,relu,avg,1.5685805476678635e+24,-232.81142
0.07525000000000001,100,256,adam,6,tanh,avg,0.05689678713679314,11.026235
0.1,20,64,adam,2,relu,avg,0.05500032380223274,45.78177
0.1,20,64,adam,2,tanh,avg,0.05923043191432953,1.5420628
0.1,20,64,adam,4,relu,avg,0.723193347454071,-12.368598
0.1,20,64,adam,4,tanh,avg,0.05660146847367287,6.297525
0.1,20,64,adam,6,relu,avg,1.851687490532898e+26,-269.4822
0.1,20,64,adam,6,tanh,avg,0.06542040407657623,4.803898
0.1,20,128,adam,2,relu,avg,0.055037371814250946,30.073137
0.1,20,128,adam,2,tanh,avg,0.05711920186877251,-0.83999354
0.1,20,128,adam,4,relu,avg,0.31437012553215027,-8.26076
0.1,20,128,adam,4,tanh,avg,0.05303580313920975,5.5968537
0.1,20,128,adam,6,relu,avg,51303.6328125,-61.230377
0.1,20,128,adam,6,tanh,avg,0.05651571974158287,12.327432
0.1,20,256,adam,2,relu,avg,0.055000897496938705,43.768448
0.1,20,256,adam,2,tanh,avg,0.034253448247909546,1.8100272
0.1,20,256,adam,4,relu,avg,0.07836791127920151,2.148773
0.1,20,256,adam,4,tanh,avg,0.05652628839015961,5.661729
0.1,20,256,adam,6,relu,avg,1.0515097364280943e+24,-251.48198
0.1,20,256,adam,6,tanh,avg,0.06402912735939026,5.6084747
0.1,50,64,adam,2,relu,avg,0.0550105907022953,36.639782
0.1,50,64,adam,2,tanh,avg,0.04740724712610245,2.7587352
0.1,50,64,adam,4,relu,avg,0.2143000066280365,-6.1694
0.1,50,64,adam,4,tanh,avg,0.05639714375138283,6.2967634
0.1,50,64,adam,6,relu,avg,1.0966121698035022e+24,-252.22084
0.1,50,64,adam,6,tanh,avg,0.06742552667856216,4.3152566
0.1,50,128,adam,2,relu,avg,0.055004801601171494,38.3675
0.1,50,128,adam,2,tanh,avg,0.0538199208676815,3.8398306
0.1,50,128,adam,4,relu,avg,0.305588036775589,-8.119168
0.1,50,128,adam,4,tanh,avg,0.06592117249965668,5.2815695
0.1,50,128,adam,6,relu,avg,4.165489900879516e+26,-278.31107
0.1,50,128,adam,6,tanh,avg,0.19878944754600525,-1.38047
0.1,50,256,adam,2,relu,avg,0.05500105023384094,43.48438
0.1,50,256,adam,2,tanh,avg,0.06040127947926521,0.3520647
0.1,50,256,adam,4,relu,avg,0.05506978929042816,27.228458
0.1,50,256,adam,4,tanh,avg,0.05224921554327011,5.855971
0.1,50,256,adam,6,relu,avg,2.0554035892505964e+29,-305.58325
0.1,50,256,adam,6,tanh,avg,0.060761112719774246,7.4234734
0.1,100,64,adam,2,relu,avg,0.055010613054037094,36.627735
0.1,100,64,adam,2,tanh,avg,0.030329134315252304,1.3814758
0.1,100,64,adam,4,relu,avg,0.05506144091486931,27.94236
0.1,100,64,adam,4,tanh,avg,0.05799664929509163,5.6291485
0.1,100,64,adam,6,relu,avg,9.709107090117677e+25,-271.32306
0.1,100,64,adam,6,tanh,avg,0.8004327416419983,-12.855011
0.1,100,128,adam,2,relu,avg,0.055023595690727234,32.489742
0.1,100,128,adam,2,tanh,avg,0.09688971191644669,-2.7524123
